UKPRN,PROVIDER_NAME,REGIONAL_GROUP
10007807,UNIVERSITY OF ULSTER,NCUK
10007807,UNIVERSITY OF ULSTER,NWUPC
10007163,UNIVERSITY OF WARWICK,M5_Universities
10007163,UNIVERSITY OF WARWICK,Midlands_Innovation
10007163,UNIVERSITY OF WARWICK,SUPC
10007138,"UNIVERSITY OF NORTHAMPTON,THE",SUPC
10007796,UNIVERSITY OF LEICESTER,M5_Universities
10007796,UNIVERSITY OF LEICESTER,NEYAL
10007796,UNIVERSITY OF LEICESTER,Midlands_Innovation
10007796,UNIVERSITY OF LEICESTER,NEUPC
10000712,UNIVERSITY COLLEGE BIRMINGHAM,GuildHE
10007762,GLASGOW CALEDONIAN UNIVERSITY,Universities_Scotland
10007165,THE UNIVERSITY OF WESTMINSTER,M25
10007148,UNIVERSITY OF HUDDERSFIELD,NEYAL
10007148,UNIVERSITY OF HUDDERSFIELD,NEUPC
10005545,ROYAL AGRICULTURAL UNIVERSITY,GuildHE
10007765,HEYTHROP COLLEGE,M25
10007838,ROYAL WELSH COLLEGE OF MUSIC AND DRAMA LIMITED,
10005523,ROSE BRUFORD COLLEGE,GuildHE
10007156,"UNIVERSITY OF SALFORD, THE",NOWAL
10007156,"UNIVERSITY OF SALFORD, THE",NWUPC
10007657,WRITTLE COLLEGE,GuildHE
10004063,LONDON SCHOOL OF ECONOMICS & POLITICAL SCIENCE,M25
10004351,MIDDLESEX UNIVERSITY,M25
10004351,MIDDLESEX UNIVERSITY,SUPC
10007773,OPEN UNIVERSITY(THE),NEYAL
10007773,OPEN UNIVERSITY(THE),M25
10007773,OPEN UNIVERSITY(THE),NEUPC
10006022,SOUTHAMPTON SOLENT UNIVERSITY,SUPC
10006022,SOUTHAMPTON SOLENT UNIVERSITY,GuildHE
10000975,BUCKINGHAMSHIRE NEW UNIVERSITY,M25
10000975,BUCKINGHAMSHIRE NEW UNIVERSITY,SUPC
10000975,BUCKINGHAMSHIRE NEW UNIVERSITY,GuildHE
10007167,UNIVERSITY OF YORK,N8_Research_Partnership
10007167,UNIVERSITY OF YORK,White_Rose_Consortium
10007167,UNIVERSITY OF YORK,NEYAL
10007167,UNIVERSITY OF YORK,NEUPC
10007151,UNIVERSITY OF LINCOLN,NEYAL
10007151,UNIVERSITY OF LINCOLN,SUPC
10007784,UNIVERSITY COLLEGE LONDON,Science_and_Engineering_South
10007784,UNIVERSITY COLLEGE LONDON,M25
10007784,UNIVERSITY COLLEGE LONDON,SUPC
10000886,UNIVERSITY OF BRIGHTON,M25
10000886,UNIVERSITY OF BRIGHTON,SUPC
10004113,LOUGHBOROUGH UNIVERSITY,M5_Universities
10004113,LOUGHBOROUGH UNIVERSITY,NEYAL
10004113,LOUGHBOROUGH UNIVERSITY,Midlands_Innovation
