UKPRN,PROVIDER_NAME,LIBRARY_GROUP
10004797,NOTTINGHAM TRENT UNIVERSITY,NON-RLUK
10007805,UNIVERSITY OF STRATHCLYDE,NON-RLUK
10007137,THE UNIVERSITY OF CHICHESTER,NON-RLUK
10007764,HERIOT-WATT UNIVERSITY,NON-RLUK
10007769,LONDON BUSINESS SCHOOL,NON-RLUK
10006840,UNIVERSITY OF BIRMINGHAM,RLUK
10007842,THE UNIVERSITY OF CUMBRIA,NON-RLUK
10007792,UNIVERSITY OF EXETER,RLUK
10005790,SHEFFIELD HALLAM UNIVERSITY,NON-RLUK
10007852,UNIVERSITY OF DUNDEE,NON-RLUK
10005700,SRUC,NON-RLUK
10007776,ROEHAMPTON UNIVERSITY,NON-RLUK
10007159,UNIVERSITY OF SUNDERLAND,NON-RLUK
10000291,ANGLIA RUSKIN UNIVERSITY,NON-RLUK
10007766,"INSTITUTE OF EDUCATION, UNIVERSITY OF LONDON",NON-RLUK
10007855,SWANSEA UNIVERSITY,NON-RLUK
10005553,ROYAL HOLLOWAY COLLEGE AND BEDFORD NEW COLLEGE,RLUK
10007777,ROYAL COLLEGE OF ART(THE),NON-RLUK
10007822,CRANFIELD UNIVERSITY,NON-RLUK
10007767,UNIVERSITY OF KEELE,NON-RLUK
10003863,LEEDS TRINITY UNIVERSITY,NON-RLUK
10003645,KING'S COLLEGE LONDON,RLUK
10007782,"ST. GEORGE'S, UNIVERSITY OF LONDON",NON-RLUK
10004775,NORWICH UNIVERSITY OF THE ARTS,NON-RLUK
10003854,LEEDS COLLEGE OF ART,NON-RLUK
10007759,ASTON UNIVERSITY,NON-RLUK
10007848,UNIVERSITY OF CHESTER,NON-RLUK
10007783,UNIVERSITY OF ABERDEEN,RLUK
10007798,THE UNIVERSITY OF MANCHESTER,RLUK
10005561,ROYAL CONSERVATOIRE OF SCOTLAND,NON-RLUK
10007154,"UNIVERSITY OF NOTTINGHAM, THE",RLUK
10008010,STRANMILLIS UNIVERSITY COLLEGE,NON-RLUK
10007799,NEWCASTLE UNIVERSITY,RLUK
10007857,BANGOR UNIVERSITY,NON-RLUK
10037449,UNIVERSITY OF ST MARK & ST JOHN,NON-RLUK
10007787,THE UNIVERSITY OF BUCKINGHAM,NON-RLUK
10007149,UNIVERSITY OF HULL,NON-RLUK
10007793,UNIVERSITY OF SOUTH WALES/PRIFYSGOL DE CYMRU,NON-RLUK
10007835,ROYAL ACADEMY OF MUSIC,NON-RLUK
10004048,LONDON METROPOLITAN UNIVERSITY,NON-RLUK
10007843,"ST MARY'S UNIVERSITY, TWICKENHAM",NON-RLUK
10001143,CANTERBURY CHRIST CHURCH UNIVERSITY,NON-RLUK
10001653,THE CONSERVATOIRE FOR DANCE AND DRAMA,NON-RLUK
10007760,BIRKBECK COLLEGE,NON-RLUK
10006842,UNIVERSITY OF LIVERPOOL,RLUK
10003324,INSTITUTE OF CANCER RESEARCH: ROYAL CANCER HOSPITAL (THE),NON-RLUK
10007146,UNIVERSITY OF GREENWICH,NON-RLUK
10007713,YORK ST JOHN UNIVERSITY,NON-RLUK
10007858,UNIVERSITY OF WALES: TRINITY SAINT DAVID,NON-RLUK
10007846,SWANSEA METROPOLITAN UNIVERSITY,NON-RLUK
10007825,GUILDHALL SCHOOL OF MUSIC & DRAMA,NON-RLUK
10007785,UNIVERSITY OF BRADFORD,NON-RLUK
10004078,LONDON SOUTH BANK UNIVERSITY,NON-RLUK
10014001,UNIVERSITY CAMPUS SUFFOLK LTD,NON-RLUK
10007800,UNIVERSITY OF THE WEST OF SCOTLAND,NON-RLUK
10003957,LIVERPOOL JOHN MOORES UNIVERSITY,NON-RLUK
10007850,UNIVERSITY OF BATH (THE),NON-RLUK
10000385,"ARTS UNIVERSITY BOURNEMOUTH, THE",NON-RLUK
10006566,UNIVERSITY OF WEST LONDON,NON-RLUK
10004930,OXFORD BROOKES UNIVERSITY,NON-RLUK
10007780,SCHOOL OF ORIENTAL AND AFRICAN STUDIES,RLUK
10007837,ROYAL NORTHERN COLLEGE OF MUSIC,NON-RLUK
10007141,UNIVERSITY OF CENTRAL LANCASHIRE,NON-RLUK
10003270,"IMPERIAL COLLEGE OF SCIENCE, TECHNOLOGY AND MEDICINE",RLUK
10008574,UNIVERSITY OF WALES PRIFYSGOL CYMRU,NON-RLUK
10007139,"UNIVERSITY OF WORCESTER, THE",NON-RLUK
