UKPRN,PROVIDER_NAME,MISSION_GROUP
10014001,UNIVERSITY CAMPUS SUFFOLK LTD,
10007800,UNIVERSITY OF THE WEST OF SCOTLAND,Million_Plus
10003957,LIVERPOOL JOHN MOORES UNIVERSITY,University_Alliance
10007850,UNIVERSITY OF BATH (THE),
10000385,"ARTS UNIVERSITY BOURNEMOUTH, THE",
10006566,UNIVERSITY OF WEST LONDON,Million_Plus
10004930,OXFORD BROOKES UNIVERSITY,University_Alliance
10007780,SCHOOL OF ORIENTAL AND AFRICAN STUDIES,1994_Group
10007837,ROYAL NORTHERN COLLEGE OF MUSIC,
10007141,UNIVERSITY OF CENTRAL LANCASHIRE,
10003270,"IMPERIAL COLLEGE OF SCIENCE, TECHNOLOGY AND MEDICINE",Russell_Group
10008574,UNIVERSITY OF WALES PRIFYSGOL CYMRU,
10007139,"UNIVERSITY OF WORCESTER, THE",
