UKPRN,PROVIDER_NAME,JISC_BAND
10004797,NOTTINGHAM TRENT UNIVERSITY,5A
10007801,PLYMOUTH UNIVERSITY,5A
10001478,THE CITY UNIVERSITY,5A
10007783,UNIVERSITY OF ABERDEEN,5A
10007850,UNIVERSITY OF BATH (THE),5A
10007141,UNIVERSITY OF CENTRAL LANCASHIRE,5A
10007789,UNIVERSITY OF EAST ANGLIA,5A
10007146,UNIVERSITY OF GREENWICH,5A
10007768,UNIVERSITY OF LANCASTER,5A
10007155,UNIVERSITY OF PORTSMOUTH,5A
10007802,UNIVERSITY OF READING,5A
10007156,"UNIVERSITY OF SALFORD, THE",5A
10007160,UNIVERSITY OF SURREY,5A
10007162,"UNIVERSITY OF THE ARTS, LONDON",5A
10007164,"UNIVERSITY OF THE WEST OF ENGLAND, BRISTOL",5A
10007807,UNIVERSITY OF ULSTER,5A
10000291,ANGLIA RUSKIN UNIVERSITY,5B
10007857,BANGOR UNIVERSITY,5B
10007140,BIRMINGHAM CITY UNIVERSITY,5B
10000824,BOURNEMOUTH UNIVERSITY,5B
10000961,BRUNEL UNIVERSITY,5B
10007822,CRANFIELD UNIVERSITY,5B
10001883,DE MONTFORT UNIVERSITY,5B
10007762,GLASGOW CALEDONIAN UNIVERSITY,5B
10007764,HERIOT-WATT UNIVERSITY,5B
10003861,LEEDS METROPOLITAN UNIVERSITY,5B
10004048,LONDON METROPOLITAN UNIVERSITY,5B
10004078,LONDON SOUTH BANK UNIVERSITY,5B
10004930,OXFORD BROOKES UNIVERSITY,5B
10007781,SCHOOL OF PHARMACY UNIVERSITY OF LONDON(THE),5B
10006299,STAFFORDSHIRE UNIVERSITY,5B
10007855,SWANSEA UNIVERSITY,5B
10007161,TEESSIDE UNIVERSITY,5B
10007165,THE UNIVERSITY OF WESTMINSTER,5B
10007152,UNIVERSITY OF BEDFORDSHIRE,5B
10007785,UNIVERSITY OF BRADFORD,5B
10000886,UNIVERSITY OF BRIGHTON,5B
10007144,UNIVERSITY OF EAST LONDON,5B
10007791,UNIVERSITY OF ESSEX,5B
10007148,UNIVERSITY OF HUDDERSFIELD,5B
10007149,UNIVERSITY OF HULL,5B
10007150,UNIVERSITY OF KENT,5B
10007797,UNIVERSITY OF LONDON,5B
10007793,UNIVERSITY OF SOUTH WALES/PRIFYSGOL DE CYMRU,5B
10007803,UNIVERSITY OF ST ANDREWS,5B
10007159,UNIVERSITY OF SUNDERLAND,5B
10007806,UNIVERSITY OF SUSSEX,5B
10007166,UNIVERSITY OF WOLVERHAMPTON,5B
10008816,NORTHERN SCHOOL OF CONTEMPORARY DANCE,NA
10007846,SWANSEA METROPOLITAN UNIVERSITY,NA
